frame,image_rel,gt_with_fine_label,v3_fp32+rec_fp32:tracks,v3_fp32+rec_fp32:matched,v3_fp32+rec_fp32:correct,v3_fp32+rec_fp16:tracks,v3_fp32+rec_fp16:matched,v3_fp32+rec_fp16:correct,v3_fp32+rec_int8_full:tracks,v3_fp32+rec_int8_full:matched,v3_fp32+rec_int8_full:correct,v3_fp16+rec_fp32:tracks,v3_fp16+rec_fp32:matched,v3_fp16+rec_fp32:correct,v3_fp16+rec_fp16:tracks,v3_fp16+rec_fp16:matched,v3_fp16+rec_fp16:correct,v3_fp16+rec_int8_full:tracks,v3_fp16+rec_int8_full:matched,v3_fp16+rec_int8_full:correct,v3_int8_head_excl+rec_fp32:tracks,v3_int8_head_excl+rec_fp32:matched,v3_int8_head_excl+rec_fp32:correct,v3_int8_head_excl+rec_fp16:tracks,v3_int8_head_excl+rec_fp16:matched,v3_int8_head_excl+rec_fp16:correct,v3_int8_head_excl+rec_int8_full:tracks,v3_int8_head_excl+rec_int8_full:matched,v3_int8_head_excl+rec_int8_full:correct,v3_int8_head_excl_fbias+rec_fp32:tracks,v3_int8_head_excl_fbias+rec_fp32:matched,v3_int8_head_excl_fbias+rec_fp32:correct,v3_int8_head_excl_fbias+rec_fp16:tracks,v3_int8_head_excl_fbias+rec_fp16:matched,v3_int8_head_excl_fbias+rec_fp16:correct,v3_int8_head_excl_fbias+rec_int8_full:tracks,v3_int8_head_excl_fbias+rec_int8_full:matched,v3_int8_head_excl_fbias+rec_int8_full:correct,v3_int8_full+rec_fp32:tracks,v3_int8_full+rec_fp32:matched,v3_int8_full+rec_fp32:correct,v3_int8_full+rec_fp16:tracks,v3_int8_full+rec_fp16:matched,v3_int8_full+rec_fp16:correct,v3_int8_full+rec_int8_full:tracks,v3_int8_full+rec_int8_full:matched,v3_int8_full+rec_int8_full:correct
0,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333519.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333525.jpg,4,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333531.jpg,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333537.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0
4,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333543.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
5,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333761.jpg,2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333768.jpg,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01333776.jpg,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01341896.jpg,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01379219.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01379351.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0
11,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01379659.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01379953.jpg,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01380171.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01380284.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,data/aihub_traffic/test/images/c_validation_1920_1200_night_1/s01380436.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13647933.jpg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13648078.jpg,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
18,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13648087.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13649043.jpg,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
20,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13649670.jpg,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
21,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13649678.jpg,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
22,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13649684.jpg,3,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
23,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13649806.jpg,3,3,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13650083.jpg,8,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,5,3,3,5,3,3,5,3,3,5,3,3,5,3,3,5,3,3,0,0,0,0,0,0,0,0,0
25,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13650089.jpg,7,7,5,4,7,5,4,7,5,4,7,4,3,7,4,3,7,4,3,6,5,4,6,5,4,6,5,4,6,5,4,6,5,4,6,5,4,0,0,0,0,0,0,0,0,0
26,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13650099.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13650105.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13650119.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13650127.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651322.jpg,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0
31,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651328.jpg,4,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,0,0,0,0,0,0,0,0,0
32,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651649.jpg,13,10,9,8,10,9,8,10,9,8,10,9,8,10,9,8,10,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,0,0,0,0,0,0,0,0,0
33,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651655.jpg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
34,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651661.jpg,3,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,0,0,0,0,0,0,0,0,0
35,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651667.jpg,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
36,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651674.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651684.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651691.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651697.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651703.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13651709.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13652312.jpg,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
43,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13652318.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
44,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13652324.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
45,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13652524.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
46,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13652958.jpg,4,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,0,0,0,0,0,0,0,0,0
47,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13653661.jpg,4,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,0,0,0,0,0,0,0,0,0
48,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686537.jpg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0
49,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686543.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686549.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686556.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686562.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686639.jpg,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0
54,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686645.jpg,6,4,3,3,4,3,3,4,3,2,4,3,3,4,3,3,4,3,2,5,3,3,5,3,3,5,3,3,5,3,3,5,3,3,5,3,3,0,0,0,0,0,0,0,0,0
55,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686655.jpg,7,7,6,4,7,6,4,7,6,4,7,6,4,7,6,4,7,6,4,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,0,0,0,0,0,0,0,0,0
56,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13686661.jpg,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0
57,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687008.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687015.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687021.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687029.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687035.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687171.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13687177.jpg,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
64,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13713962.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13713970.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13713976.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13713983.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13713990.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13713997.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714003.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714010.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714016.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714161.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714167.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714174.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714180.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714186.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13714782.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13728826.jpg,10,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0
80,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13728832.jpg,11,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0
81,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13728839.jpg,10,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0
82,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13728983.jpg,10,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,0,0,0,0,0,0,0,0,0
83,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13728989.jpg,8,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,6,4,2,6,4,2,6,4,2,6,4,2,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
84,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13728995.jpg,10,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0
85,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729001.jpg,9,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,6,4,2,6,4,2,6,4,2,6,4,2,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
86,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729008.jpg,10,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
87,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729101.jpg,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
88,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729108.jpg,5,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0
89,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729116.jpg,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
90,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729122.jpg,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729128.jpg,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
92,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729134.jpg,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
93,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729141.jpg,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
94,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13729147.jpg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13774791.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13774801.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2/13774809.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
