=== 17:25:29 cpu t4
17:25:35  python=32.7  vgtray=7.9  system=1.9  taskmgr=1.6  claude=1.5  msmpeng=1.4
17:25:40  python=33.1  vgtray=8.3  taskmgr=1.3  system=1.2  msmpeng=0.5  claude=0.2
17:25:45  python=33.2  vgtray=8.2  system=1.7  taskmgr=1.3  msmpeng=0.4  chrome=0.4
17:25:50  python=33.0  vgtray=8.2  system=1.0  taskmgr=1.0  claude=0.4  chatgpt=0.3
17:25:55  python=33.1  vgtray=8.1  system=1.7  taskmgr=1.2  claude=0.7  grep=0.4
17:26:01  python=33.3  vgtray=8.3  system=1.4  taskmgr=1.1  discord=0.2  claude=0.2
17:26:06  python=33.1  vgtray=8.3  taskmgr=1.2  system=1.1  claude=1.1  msmpeng=0.4
17:26:11  python=32.9  vgtray=8.2  system=1.5  taskmgr=1.2  claude=0.6  msmpeng=0.5
17:26:16  python=33.0  vgtray=8.1  system=1.9  taskmgr=1.2  antigravity ide=0.7  chatgpt=0.5
17:26:21  python=32.7  vgtray=8.1  antigravity ide=1.5  system=1.0  taskmgr=1.0  chatgpt=0.6
17:26:26  python=33.0  vgtray=8.2  system=1.6  taskmgr=1.2  chatgpt=0.4  antigravity ide=0.3
17:26:31  python=32.9  vgtray=8.1  system=1.4  taskmgr=1.3  antigravity ide=0.6  chatgpt=0.5
17:26:36  python=33.3  vgtray=8.3  system=1.6  taskmgr=1.3  msmpeng=0.3  antigravity ide=0.2
17:26:41  python=33.1  vgtray=8.2  system=1.4  taskmgr=1.3  chatgpt=0.6  msmpeng=0.3
17:26:47  python=32.9  vgtray=8.2  taskmgr=1.4  system=1.0  chrome=0.6  antigravity ide=0.4
17:26:52  python=33.1  vgtray=8.3  taskmgr=1.2  system=0.9  antigravity ide=0.2  msmpeng=0.2
17:26:57  python=32.9  vgtray=8.2  system=1.9  taskmgr=1.2  antigravity ide=0.6  chrome=0.5
17:27:02  python=33.0  vgtray=8.3  system=1.4  taskmgr=1.2  antigravity ide=0.3  chatgpt=0.3
17:27:07  chrome=88.3  python=33.3  vgtray=8.3  system=1.7  taskmgr=1.4  antigravity ide=0.2
17:27:12  python=33.3  vgtray=8.3  taskmgr=1.1  system=1.1  msmpeng=0.2  svchost=0.1
17:27:17  python=33.2  vgtray=8.3  system=1.4  taskmgr=1.2  antigravity ide=0.9  msmpeng=0.2
17:27:22  python=33.3  vgtray=8.3  system=1.4  taskmgr=1.2  svchost=1.1  chatgpt=0.3
17:27:28  python=33.2  vgtray=8.3  system=2.2  taskmgr=1.2  msmpeng=0.4  antigravity ide=0.3
17:27:33  python=33.1  vgtray=8.2  system=1.5  taskmgr=1.2  antigravity ide=0.3  svchost=0.3
17:27:38  python=33.0  vgtray=8.2  system=1.8  antigravity ide=1.2  taskmgr=1.1  claude=0.3
17:27:43  python=32.8  vgtray=8.2  system=1.2  taskmgr=1.1  memory compression=0.7  grep=0.4
