frame,detections,det_prepare_ms,det_ms,decode_ms,rec_prepare_ms,rec_ms,total_ms
20,0,2.064999997615814,15.284999996423721,0,0,0,17.349999994039536
21,0,2.0349999964237213,15.265000015497208,0,0,0,17.30000001192093
22,1,2.6949999928474426,14.650000005960464,0,0.04499998688697815,3.300000011920929,20.689999997615814
23,0,2.5150000154972076,16.169999986886978,0,0,0,18.685000002384186
24,4,2.6200000047683716,13.23999997973442,0,0.7900000214576721,3.604999989271164,20.25499999523163
25,5,2.1800000071525574,15.929999977350235,0.005000025033950806,0.20999997854232788,4.280000001192093,22.604999989271164
26,1,2.2549999952316284,14.814999997615814,0,0.050000011920928955,3.229999989271164,20.349999994039536
27,0,2.2150000035762787,16.214999973773956,0,0,0,18.429999977350235
28,0,2.1599999964237213,15.754999995231628,0,0,0,17.91499999165535
29,0,2.4099999964237213,15.390000015497208,0,0,0,17.80000001192093
30,3,2.6200000047683716,13.474999994039536,0,0.75,4.165000021457672,21.01000002026558
31,6,2.179999977350235,13.51000002026558,0,0.26999998092651367,3.7450000047683716,19.7049999833107
32,5,2.2450000047683716,15.480000019073486,0.004999995231628418,0.41999998688697815,3.344999998807907,21.49500000476837
33,4,2.645000010728836,17.25499999523163,0.004999995231628418,0.7599999904632568,4.159999996423721,24.82499998807907
34,1,2.195000022649765,9.024999976158142,0.005000025033950806,0.04499998688697815,3.814999997615814,15.08500000834465
35,3,2.1500000059604645,16.9549999833107,0,0.2550000250339508,3.5149999856948853,22.875
36,0,2.1500000059604645,11.400000005960464,0,0,0,13.550000011920929
37,1,2.4749999940395355,15.745000004768372,0,0.6949999928474426,3.824999988079071,22.73999997973442
38,0,2.199999988079071,12.735000014305115,0,0,0,14.935000002384186
39,0,2.115000009536743,12.319999992847443,0,0,0,14.435000002384186
40,0,2.100000023841858,9.24499997496605,0,0,0,11.344999998807907
41,0,2.5349999964237213,14.254999995231628,0.005000025033950806,0,0,16.7950000166893
42,1,2.169999986886978,12.300000011920929,0,0.08499997854232788,3.905000001192093,18.459999978542328
43,1,3.1200000047683716,17.24500000476837,0.004999995231628418,0.5250000059604645,4.424999982118607,25.319999992847443
44,3,2.185000002384186,12.905000001192093,0,0.3149999976158142,3.5699999928474426,18.974999994039536
45,2,2.209999978542328,9.409999996423721,0.005000025033950806,0.08499997854232788,3.9600000083446503,15.669999986886978
46,3,2.1500000059604645,9.254999995231628,0,0.14500001072883606,4.114999979734421,15.66499999165535
